type,timestamp,time_diff,totalCursorDistance,totalMouseClicks,user_id,version_id,option_id,old_group,new_group,old_vote,new_vote,vote_diff,card_order,new_position,old_position,filled_page_action,raw_page_action,option_position,option_position_view
options/updateOptionVotes,2023-10-01 20:50:49.004000+00:00,107.92200000000015,23316.533329660822,7,S004,v4,option_17,,,0.0,10.0,10.0,20.0,,,voting,,2.0,23.0
options/updateOptionVotes,2023-10-01 20:51:15.229000+00:00,26.225000000000005,12691.107857972036,4,S004,v4,option_9,,,0.0,5.0,5.0,12.0,,,voting,,8.0,17.0
options/updateOptionVotes,2023-10-01 20:51:29.234000+00:00,14.005,3606.046595937357,2,S004,v4,option_15,,,0.0,6.0,6.0,1.0,,,voting,,11.0,14.0
options/updateOptionVotes,2023-10-01 20:51:41.575000+00:00,12.340999999999994,6756.455378243415,3,S004,v4,option_20,,,0.0,4.0,4.0,19.0,,,voting,,1.0,24.0
options/updateOptionVotes,2023-10-01 20:51:46.818000+00:00,5.242999999999999,778.6049258959409,2,S004,v4,option_23,,,0.0,4.0,4.0,7.0,,,voting,,3.0,22.0
options/updateOptionVotes,2023-10-01 20:51:52.477000+00:00,5.659000000000001,1803.1440410389096,2,S004,v4,option_31,,,0.0,3.0,3.0,5.0,,,voting,,4.0,21.0
options/updateOptionVotes,2023-10-01 20:52:03.547000+00:00,11.07,1401.473132221581,2,S004,v4,option_24,,,0.0,6.0,6.0,23.0,,,voting,,5.0,20.0
options/updateOptionVotes,2023-10-01 20:52:10.061000+00:00,6.513999999999999,1628.0293943143683,2,S004,v4,option_21,,,0.0,3.0,3.0,21.0,,,voting,,6.0,19.0
options/updateOptionVotes,2023-10-01 20:52:19.095000+00:00,9.034,880.5523785766161,2,S004,v4,option_22,,,0.0,3.0,3.0,4.0,,,voting,,7.0,18.0
options/updateOptionVotes,2023-10-01 20:52:23.438000+00:00,4.343,844.9147759511899,2,S004,v4,option_22,,,3.0,4.0,1.0,4.0,,,voting,,7.0,18.0
options/updateOptionVotes,2023-10-01 20:52:28.793000+00:00,5.355,1252.7215975467398,3,S004,v4,option_13,,,0.0,4.0,4.0,17.0,,,voting,,9.0,16.0
options/updateOptionVotes,2023-10-01 20:52:36.826000+00:00,8.033,1689.208114732133,2,S004,v4,option_12,,,0.0,6.0,6.0,2.0,,,voting,,10.0,15.0
options/updateOptionVotes,2023-10-01 20:52:40.865000+00:00,4.039,626.3312168374096,2,S004,v4,option_30,,,0.0,3.0,3.0,22.0,,,voting,,12.0,13.0
options/updateOptionVotes,2023-10-01 20:52:54.297000+00:00,13.432,5266.779024882397,3,S004,v4,option_19,,,0.0,2.0,2.0,16.0,,,voting,,13.0,12.0
options/updateOptionVotes,2023-10-01 20:52:57.932000+00:00,3.635,575.0544121093133,2,S004,v4,option_26,,,0.0,3.0,3.0,14.0,,,voting,,14.0,11.0
options/updateOptionVotes,2023-10-01 20:53:01.205000+00:00,3.273,427.7148541678905,2,S004,v4,option_28,,,0.0,0.0,0.0,11.0,,,voting,,15.0,10.0
options/updateOptionVotes,2023-10-01 20:53:06.177000+00:00,4.972,985.6589675360856,2,S004,v4,option_8,,,0.0,2.0,2.0,9.0,,,voting,,16.0,9.0
options/updateOptionVotes,2023-10-01 20:53:10.036000+00:00,3.859,1024.5078573855258,2,S004,v4,option_6,,,0.0,1.0,1.0,24.0,,,voting,,17.0,8.0
options/updateOptionVotes,2023-10-01 20:53:16.343000+00:00,6.307,2038.6143658085189,3,S004,v4,option_7,,,0.0,1.0,1.0,13.0,,,voting,,18.0,7.0
options/updateOptionVotes,2023-10-01 20:53:20.157000+00:00,3.814,1020.6904737078424,2,S004,v4,option_5,,,0.0,0.0,0.0,3.0,,,voting,,19.0,6.0
options/updateOptionVotes,2023-10-01 20:53:24.819000+00:00,4.662,1885.681652640946,3,S004,v4,option_4,,,0.0,2.0,2.0,6.0,,,voting,,20.0,5.0
options/updateOptionVotes,2023-10-01 20:53:29.578000+00:00,4.759,1393.8959106666146,3,S004,v4,option_3,,,0.0,1.0,1.0,15.0,,,voting,,21.0,4.0
options/updateOptionVotes,2023-10-01 20:54:02.834000+00:00,33.256,4756.148907042523,6,S004,v4,option_29,,,0.0,-10.0,-10.0,18.0,,,voting,,24.0,1.0
options/updateOptionVotes,2023-10-01 20:54:09.393000+00:00,6.559,823.0194507056973,2,S004,v4,option_29,,,-10.0,-5.0,5.0,18.0,,,voting,,24.0,1.0
options/updateOptionVotes,2023-10-01 20:54:14.567000+00:00,5.174,1315.730188480951,2,S004,v4,option_29,,,-5.0,-4.0,1.0,18.0,,,voting,,24.0,1.0
options/updateOptionVotes,2023-10-01 20:54:17.132000+00:00,2.565,508.0399212925388,2,S004,v4,option_29,,,-4.0,-5.0,-1.0,18.0,,,voting,,24.0,1.0
options/updateOptionVotes,2023-10-01 20:54:27.719000+00:00,10.587,1113.815165788775,2,S004,v4,option_18,,,0.0,6.0,6.0,10.0,,,voting,,22.0,3.0
options/updateOptionVotes,2023-10-01 20:54:37.404000+00:00,9.685,1701.064407855855,2,S004,v4,option_10,,,0.0,0.0,0.0,8.0,,,voting,,23.0,2.0
initializing system,2023-10-01 22:37:54.603000+00:00,156.3,15205.169172945809,2,S006,v4,,,,,,,,,,,,,
options/updateOptionGroup,2023-10-01 22:41:12.791000+00:00,41.888,13181.06594147092,1,S006,v4,option_13,Undecided,Positive,,,,19.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:41:35.674000+00:00,22.883,2726.389437655569,1,S006,v4,option_1,Undecided,Neutral,,,,1.0,,,grouping,,2.0,23.0
options/updateOptionGroup,2023-10-01 22:41:51.942000+00:00,16.268,109.2343532970195,1,S006,v4,option_24,Undecided,Positive,,,,12.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:42:22.297000+00:00,30.355,4207.183344496398,1,S006,v4,option_8,Undecided,Neutral,,,,2.0,,,grouping,,3.0,22.0
options/updateOptionGroup,2023-10-01 22:42:30.485000+00:00,8.188,1914.0330578731432,1,S006,v4,option_28,Undecided,Negative,,,,23.0,,,grouping,,5.0,20.0
options/updateOptionGroup,2023-10-01 22:42:42.243000+00:00,11.758,1108.1110238974352,1,S006,v4,option_19,Undecided,Positive,,,,3.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:43:09.760000+00:00,27.517,104.41272801257752,1,S006,v4,option_16,Undecided,Positive,,,,11.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:43:16.104000+00:00,6.344,265.5089068385531,1,S006,v4,option_29,Undecided,Negative,,,,4.0,,,grouping,,7.0,18.0
options/updateOptionGroup,2023-10-01 22:43:32.428000+00:00,16.324,245.37100668676223,1,S006,v4,option_17,Undecided,Positive,,,,21.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:44:02.995000+00:00,30.567,130.15957814887292,1,S006,v4,option_9,Undecided,Positive,,,,13.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:44:18.657000+00:00,15.662,2.0,1,S006,v4,option_25,Undecided,Positive,,,,24.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:44:51.416000+00:00,32.759,16.650281539872886,1,S006,v4,option_5,Undecided,Positive,,,,5.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:44:59.538000+00:00,8.122,17.656854249492383,1,S006,v4,option_30,Undecided,Positive,,,,6.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:45:14.568000+00:00,15.03,8.0,1,S006,v4,option_23,Undecided,Positive,,,,7.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:45:17.550000+00:00,2.982,0.0,1,S006,v4,option_2,Undecided,Positive,,,,8.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:45:40.601000+00:00,23.051,222.1853830777651,1,S006,v4,option_6,Undecided,Positive,,,,9.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:45:48.085000+00:00,7.484,0.0,1,S006,v4,option_27,Undecided,Positive,,,,10.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:45:56.971000+00:00,8.886,0.0,1,S006,v4,option_31,Undecided,Positive,,,,14.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:46:14.498000+00:00,17.527,44.23334547203385,1,S006,v4,option_21,Undecided,Positive,,,,15.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:46:20.437000+00:00,5.939,0.0,1,S006,v4,option_15,Undecided,Positive,,,,18.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:46:27.604000+00:00,7.167,0.0,1,S006,v4,option_14,Undecided,Positive,,,,16.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:46:42.195000+00:00,14.591,16.0,1,S006,v4,option_18,Undecided,Positive,,,,17.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-01 22:46:50.442000+00:00,8.247,165.869752261416,1,S006,v4,option_3,Undecided,Neutral,,,,20.0,,,grouping,,19.0,6.0
options/updateOptionGroup,2023-10-01 22:47:09.770000+00:00,19.328,132.23498745820842,1,S006,v4,option_4,Undecided,Positive,,,,22.0,,,grouping,,1.0,24.0
begin voting,2023-10-01 22:47:18.071000+00:00,8.328000000000001,2152.1884605351734,1,S006,v4,,,,,,,,,,,,,
options/updateOptionVotes,2023-10-01 22:48:41.292000+00:00,83.19400000000003,11478.055695928057,2,S006,v4,option_29,,,0.0,-2.0,-2.0,4.0,,,voting,,23.0,2.0
options/updateOptionVotes,2023-10-01 22:48:47.132000+00:00,5.84,455.093650751306,2,S006,v4,option_28,,,0.0,-2.0,-2.0,23.0,,,voting,,24.0,1.0
options/updateOptionVotes,2023-10-01 22:49:04.354000+00:00,17.222,2451.8289196734904,2,S006,v4,option_3,,,0.0,2.0,2.0,20.0,,,voting,,20.0,5.0
options/updateOptionVotes,2023-10-01 22:49:11.036000+00:00,6.682,166.50821720914897,2,S006,v4,option_8,,,0.0,2.0,2.0,2.0,,,voting,,21.0,4.0
options/updateOptionVotes,2023-10-01 22:49:17.281000+00:00,6.245,456.8532174206463,2,S006,v4,option_1,,,0.0,2.0,2.0,1.0,,,voting,,22.0,3.0
options/updateOptionVotes,2023-10-01 22:49:40.489000+00:00,23.208,7574.545845997711,2,S006,v4,option_5,,,0.0,2.0,2.0,5.0,,,voting,,12.0,13.0
options/updateOptionVotes,2023-10-01 22:49:53.079000+00:00,12.589999999999996,1657.282887779272,2,S006,v4,option_6,,,0.0,2.0,2.0,9.0,,,voting,,8.0,17.0
options/updateOptionVotes,2023-10-01 22:50:21.474000+00:00,28.395,3044.620781263148,2,S006,v4,option_18,,,0.0,2.0,2.0,17.0,,,voting,,2.0,23.0
options/updateOptionVotes,2023-10-01 22:50:32.105000+00:00,10.631,1315.939815221405,2,S006,v4,option_4,,,0.0,4.0,4.0,22.0,,,voting,,1.0,24.0
options/updateOptionVotes,2023-10-01 22:50:55.190000+00:00,23.085,3364.380030801511,2,S006,v4,option_2,,,0.0,6.0,6.0,8.0,,,voting,,9.0,16.0
options/updateOptionVotes,2023-10-01 22:51:08.748000+00:00,13.558,1670.990066263671,2,S006,v4,option_23,,,0.0,4.0,4.0,7.0,,,voting,,10.0,15.0
options/updateOptionVotes,2023-10-01 22:51:46.288000+00:00,37.54,2196.8819686461025,2,S006,v4,option_17,,,0.0,8.0,8.0,21.0,,,voting,,15.0,10.0
options/updateOptionVotes,2023-10-01 22:52:04.142000+00:00,17.854,733.6476250650312,2,S006,v4,option_19,,,0.0,10.0,10.0,3.0,,,voting,,17.0,8.0
options/updateOptionVotes,2023-10-01 22:52:18.644000+00:00,14.502,934.9392150756908,2,S006,v4,option_24,,,0.0,10.0,10.0,12.0,,,voting,,18.0,7.0
options/updateOptionVotes,2023-10-01 22:52:27.333000+00:00,8.689,980.5169179057474,2,S006,v4,option_13,,,0.0,3.0,3.0,19.0,,,voting,,19.0,6.0
options/updateOptionVotes,2023-10-01 22:52:35.937000+00:00,8.604,1302.6297503483224,2,S006,v4,option_9,,,0.0,3.0,3.0,13.0,,,voting,,14.0,11.0
options/updateOptionVotes,2023-10-01 22:52:44.531000+00:00,8.594000000000001,749.8805803221953,2,S006,v4,option_25,,,0.0,3.0,3.0,24.0,,,voting,,13.0,12.0
options/updateOptionVotes,2023-10-01 22:53:06.378000+00:00,21.847,1579.200242163965,2,S006,v4,option_31,,,0.0,5.0,5.0,14.0,,,voting,,6.0,19.0
options/updateOptionVotes,2023-10-01 22:53:23.298000+00:00,16.919999999999998,1118.127301777622,2,S006,v4,option_14,,,0.0,3.0,3.0,16.0,,,voting,,3.0,22.0
options/updateOptionVotes,2023-10-01 22:53:35.459000+00:00,12.160999999999998,929.4492824153732,3,S006,v4,option_15,,,0.0,3.0,3.0,18.0,,,voting,,4.0,21.0
options/updateOptionVotes,2023-10-01 22:53:40.826000+00:00,5.367,180.9775321831792,2,S006,v4,option_21,,,0.0,3.0,3.0,15.0,,,voting,,5.0,20.0
options/updateOptionVotes,2023-10-01 22:53:50.231000+00:00,9.405,797.23081632203,2,S006,v4,option_27,,,0.0,3.0,3.0,10.0,,,voting,,7.0,18.0
options/updateOptionVotes,2023-10-01 22:54:01.290000+00:00,11.058999999999996,1675.7745651210098,2,S006,v4,option_30,,,0.0,3.0,3.0,6.0,,,voting,,11.0,14.0
options/updateOptionVotes,2023-10-01 22:54:08.648000+00:00,7.358,800.5443468465862,2,S006,v4,option_16,,,0.0,3.0,3.0,11.0,,,voting,,16.0,9.0
initializing system,2023-10-02 15:05:42.879000+00:00,85.814,6015.005878129569,0,S009,v4,,,,,,,,,,,,,
options/updateOptionGroup,2023-10-02 15:07:31.968000+00:00,23.275,4577.939113802246,1,S009,v4,option_8,Undecided,Skip,,,,4.0,,,grouping,,24.0,1.0
options/updateOptionGroup,2023-10-02 15:07:37.825000+00:00,5.857,1251.2254844576237,1,S009,v4,option_21,Undecided,Positive,,,,15.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:07:42.901000+00:00,5.076,956.8828473923704,1,S009,v4,option_4,Undecided,Positive,,,,20.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:07:47.930000+00:00,5.029,0.0,1,S009,v4,option_26,Undecided,Positive,,,,1.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:07:54.837000+00:00,6.907,1592.473476234852,1,S009,v4,option_22,Undecided,Neutral,,,,2.0,,,grouping,,4.0,21.0
options/updateOptionGroup,2023-10-02 15:08:00.305000+00:00,5.468,93.34630464628478,1,S009,v4,option_30,Undecided,Positive,,,,18.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:02.291000+00:00,1.986,0.0,1,S009,v4,option_14,Undecided,Positive,,,,23.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:06.751000+00:00,4.46,0.0,1,S009,v4,option_25,Undecided,Positive,,,,10.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:10.735000+00:00,3.984,0.0,1,S009,v4,option_13,Undecided,Positive,,,,3.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:17.258000+00:00,6.523,1239.3539468276358,1,S009,v4,option_5,Undecided,Neutral,,,,5.0,,,grouping,,8.0,17.0
options/updateOptionGroup,2023-10-02 15:08:20.228000+00:00,2.97,463.076302552779,1,S009,v4,option_19,Undecided,Positive,,,,6.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:28.374000+00:00,8.146,572.2686527377991,1,S009,v4,option_23,Undecided,Positive,,,,7.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:33.043000+00:00,4.669,59.42366870536343,1,S009,v4,option_28,Undecided,Neutral,,,,16.0,,,grouping,,10.0,15.0
options/updateOptionGroup,2023-10-02 15:08:36.609000+00:00,3.566,0.0,1,S009,v4,option_1,Undecided,Neutral,,,,9.0,,,grouping,,10.0,15.0
options/updateOptionGroup,2023-10-02 15:08:40.602000+00:00,3.993,61.97667994582421,1,S009,v4,option_20,Undecided,Positive,,,,8.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:43.325000+00:00,2.723,0.0,1,S009,v4,option_18,Undecided,Positive,,,,11.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:08:47.926000+00:00,4.601,11.414213562373096,1,S009,v4,option_15,Undecided,Positive,,,,19.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:09:07.322000+00:00,19.396,897.5160224168924,1,S009,v4,option_24,Undecided,Neutral,,,,24.0,,,grouping,,13.0,12.0
options/updateOptionGroup,2023-10-02 15:09:10.696000+00:00,3.374,763.9540712030661,1,S009,v4,option_17,Undecided,Positive,,,,12.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:09:17.998000+00:00,7.302,317.21440575108124,1,S009,v4,option_9,Undecided,Positive,,,,14.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:09:25.211000+00:00,7.213,0.0,1,S009,v4,option_16,Undecided,Positive,,,,13.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:09:28.529000+00:00,3.318,0.0,1,S009,v4,option_6,Undecided,Positive,,,,22.0,,,grouping,,1.0,24.0
options/updateOptionGroup,2023-10-02 15:09:34.199000+00:00,5.67,185.4534023730364,1,S009,v4,option_3,Undecided,Negative,,,,17.0,,,grouping,,22.0,3.0
options/updateOptionGroup,2023-10-02 15:09:37.787000+00:00,3.588,134.29832572579835,1,S009,v4,option_2,Undecided,Positive,,,,21.0,,,grouping,,1.0,24.0
options/updateOptionPosition,2023-10-02 15:09:46.145000+00:00,35.94499999999999,6419.199327301115,7,S009,v4,option_8,Neutral,Skip,,,,4.0,23.0,1.0,grouping,,23.0,2.0
begin voting,2023-10-02 15:09:49.524000+00:00,3.41,1373.9462298989567,0,S009,v4,,,,,,,,,,,,,
options/updateOptionVotes,2023-10-02 15:10:40.958000+00:00,51.40299999999996,18562.696910185557,8,S009,v4,option_2,,,0.0,1.0,1.0,21.0,,,voting,,1.0,24.0
options/updateOptionVotes,2023-10-02 15:10:48.361000+00:00,7.403,272.7584598783996,2,S009,v4,option_16,,,0.0,3.0,3.0,13.0,,,voting,,3.0,22.0
options/updateOptionVotes,2023-10-02 15:10:55.089000+00:00,6.728,290.1967453886862,2,S009,v4,option_15,,,0.0,3.0,3.0,19.0,,,voting,,6.0,19.0
options/updateOptionVotes,2023-10-02 15:11:00.872000+00:00,5.783,592.5228845384404,2,S009,v4,option_18,,,0.0,1.0,1.0,11.0,,,voting,,7.0,18.0
options/updateOptionVotes,2023-10-02 15:11:14.145000+00:00,13.273,3235.3074821749906,2,S009,v4,option_17,,,0.0,2.0,2.0,12.0,,,voting,,5.0,20.0
options/updateOptionVotes,2023-10-02 15:11:25.879000+00:00,11.734,388.6006462808752,2,S009,v4,option_20,,,0.0,2.0,2.0,8.0,,,voting,,8.0,17.0
options/updateOptionVotes,2023-10-02 15:11:40.066000+00:00,14.187,250.75764450260368,2,S009,v4,option_23,,,0.0,2.0,2.0,7.0,,,voting,,9.0,16.0
options/updateOptionVotes,2023-10-02 15:11:48.717000+00:00,8.651,309.0778233118341,2,S009,v4,option_19,,,0.0,3.0,3.0,6.0,,,voting,,10.0,15.0
options/updateOptionVotes,2023-10-02 15:11:55.489000+00:00,6.772,324.5891126601928,2,S009,v4,option_13,,,0.0,3.0,3.0,3.0,,,voting,,11.0,14.0
options/updateOptionVotes,2023-10-02 15:12:10.779000+00:00,15.29,1012.0547918059004,2,S009,v4,option_25,,,0.0,3.0,3.0,10.0,,,voting,,12.0,13.0
options/updateOptionVotes,2023-10-02 15:12:18.113000+00:00,7.334,375.73344484430345,2,S009,v4,option_14,,,0.0,2.0,2.0,23.0,,,voting,,13.0,12.0
options/updateOptionVotes,2023-10-02 15:12:24.718000+00:00,6.605,226.93699847211107,2,S009,v4,option_30,,,0.0,3.0,3.0,18.0,,,voting,,14.0,11.0
options/updateOptionVotes,2023-10-02 15:12:27.248000+00:00,2.53,275.9480576004312,2,S009,v4,option_30,,,3.0,2.0,-1.0,18.0,,,voting,,14.0,11.0
options/updateOptionVotes,2023-10-02 15:12:33.166000+00:00,5.918,325.54798345641524,2,S009,v4,option_26,,,0.0,3.0,3.0,1.0,,,voting,,15.0,10.0
options/updateOptionVotes,2023-10-02 15:12:38.892000+00:00,5.725999999999999,394.1762617347365,2,S009,v4,option_4,,,0.0,3.0,3.0,20.0,,,voting,,16.0,9.0
options/updateOptionVotes,2023-10-02 15:12:43.435000+00:00,4.543,221.724802817728,2,S009,v4,option_21,,,0.0,4.0,4.0,15.0,,,voting,,17.0,8.0
options/updateOptionVotes,2023-10-02 15:12:48.658000+00:00,5.223,1416.7066870975664,2,S009,v4,option_3,,,0.0,-1.0,-1.0,17.0,,,voting,,24.0,1.0
options/updateOptionPosition,2023-10-02 15:12:59.362000+00:00,10.704,2577.880294254318,3,S009,v4,option_24,Positive,Neutral,,,,24.0,,,voting,,18.0,7.0
options/updateOptionVotes,2023-10-02 15:13:06.827000+00:00,7.465,1039.8223494355566,1,S009,v4,option_24,,,0.0,4.0,4.0,24.0,,,voting,,18.0,7.0
options/updateOptionVotes,2023-10-02 15:13:11.700000+00:00,4.873,548.8726053099649,2,S009,v4,option_1,,,0.0,1.0,1.0,9.0,,,voting,,19.0,6.0
options/updateOptionVotes,2023-10-02 15:13:14.297000+00:00,2.597,209.98838892940293,2,S009,v4,option_28,,,0.0,1.0,1.0,16.0,,,voting,,20.0,5.0
options/updateOptionVotes,2023-10-02 15:13:17.312000+00:00,3.015,194.78187500329307,2,S009,v4,option_5,,,0.0,1.0,1.0,5.0,,,voting,,21.0,4.0
options/updateOptionVotes,2023-10-02 15:13:20.822000+00:00,3.51,779.4076962240399,2,S009,v4,option_22,,,0.0,1.0,1.0,2.0,,,voting,,22.0,3.0
options/updateOptionVotes,2023-10-02 15:13:26.245000+00:00,5.423,223.53250927980403,2,S009,v4,option_8,,,0.0,1.0,1.0,4.0,,,voting,,23.0,2.0
options/updateOptionVotes,2023-10-02 15:13:31.276000+00:00,5.031,1275.4304256699006,2,S009,v4,option_8,,,1.0,2.0,1.0,4.0,,,voting,,23.0,2.0
